languageFrom,languageTo,changeDate
dinner,obiad,20200101
direction,kierunek,20200101
dirty,brudny,20200101
disadvantage,niekorzyść,20200101
disapear,zniknąć,20200101
disappoint,zawieść,20200101
disaster,katastrofa,20200101
disgusting,obrzydliwy,20200101
dish,danie,20200101
dishwasher,zmywarka,20200101
dislike,"nie lubić",20200101
dissolve,rozpuścić,20200101
distinguish,rozróżniać,20200101
disturb,przeszkadzać,20200101
dive,nurkować,20200101
do,zrobić,20200101
"do _ have _","mają _",20200101
"do you like to","czy lubisz",20200101
"do you like?","czy lubisz?",20200101
"do you love","czy kochasz",20200101
donut,pączek,20200101
door,drzwi,20200101
dot,kropka,20200101
double,podwójnie,20200101
doughnut,pączek,20200101
down,"na dół",20200101
draw,remis,20200101
drawer,szuflada,20200101
drawing,rysunek,20200101
dream,śnić,20200101
drink,drink,20200101
drive,napęd,20200101
dry,suchy,20200101
durable,trwały,20200101
during,"w trakcie",20200101
dust,kurz,20200101
each,każdy,20200101
ear,ucho,20200101
early,wcześnie,20200101
ears,uszy,20200101
east,Wschód,20200101
easy,łatwo,20200101
efficiency,wydajność,20200101
efficient,wydajny,20200101
electicity,elektryczność,20200101
"electric grid","sieci elektryczne",20200101
electricity,Elektryczność,20200101
elevator,winda,20200101
emblem,godło,20200101
empty,pusty,20200101
enemy,wróg,20200101
engine,silnik,20200101
enough,dość,20200101
entertainment,zabawa,20200101
entlarge,powiększ,20200101
equal,równy,20200101
even,parzysty,20200101
every,każdy,20200101
"every time","każdego razu",20200101
everybody,wszyscy,20200101
everyone,wszyscy,20200101
exactly,dokładnie,20200101
example,przykład,20200101
exceed,przekraczać,20200101
"except for","z wyjątkiem",20200101
exception,wyjątek,20200101
exceptional,wyjątkowy,20200101
exciting,ekscytujący,20200101
exclude,wykluczać,20200101
exercise,ćwiczenie,20200101
exhibition,wystawa,20200101
exiting,wyjście,20200101
expand,rozszerzać,20200101
expect,oczekiwać,20200101
expectation,oczekiwanie,20200101
expensive,kosztowny,20200101
experience,doświadczenie,20200101
explain,wyjaśnić,20200101
eye,oko,20200101
eyebrow,brew,20200101
eyebrows,brwi,20200101
face,Twarz,20200101
faint,słaby,20200101
fairy,wróżka,20200101
"fall down",upaść,20200101
family,rodzina,20200101
famous,sławny,20200101
fan,wentylator,20200101
far,daleko,20200101
fart,pierdnięcie,20200101
fast,szybki,20200101
"fasten seatbelts","zapiąć pasy",20200101
fat,tłuszcz,20200101
father,ojciec,20200101
feathers,pióra,20200101
february,luty,20200101
feel,czuć,20200101
fell,spadł,20200101
female,"Płeć żeńska",20200101
fever,gorączka,20200101
few,mało,20200101
field,pole,20200101
fill,napełnić,20200101
find,odnaleźć,20200101
"find out",odkryć,20200101
finger,palec,20200101
finish,koniec,20200101
fire,ogień,20200101
fireman,strażak,20200101
fireplace,kominek,20200101
first,pierwszy,20200101
"first of all","po pierwsze",20200101
fish,ryba,20200101
fix,naprawić,20200101
flat,mieszkanie,20200101
"flat tire","przebita opona",20200101
flew,latał,20200101
floor,piętro,20200101
flow,pływ,20200101
flower,kwiat,20200101
flu,grypa,20200101
fly,latać,20200101
follow,podążać,20200101
for,dla,20200101
"for (time)","od (czas)",20200101
"for free","za darmo",20200101
forbid,zakazać,20200101
forbidden,zakazany,20200101
force,siła,20200101
forecast,prognoza,20200101
forehead,czoło,20200101
forest,las,20200101
forget,zapomnieć,20200101
forgive,Wybacz,20200101
forgiveness,przebaczenie,20200101
fork,widelec,20200101
four,cztery,20200101
freckles,piegi,20200101
freezer,zamrażarka,20200101
fresh,świeży,20200101
friday,piątek,20200101
fridge,lodówka,20200101
from,z,20200101
fuel,paliwo,20200101
fulfil,spełnić,20200101
full,pełny,20200101
funny,zabawny,20200101
furr,furra,20200101
future,przyszłość,20200101
gain,zdobyć,20200101
games,Gry,20200101
gardner,ogrodnik,20200101
gather,zbierać,20200101
gave,dał,20200101
generally,ogólnie,20200101
gently,łagodnie,20200101
gesture,gest,20200101
get,otrzymać,20200101
"get better",lepiej,20200101
"get dressed","ubrać się",20200101
"get hurt","Zranić się",20200101
"get married","wyjść za mąż",20200101
"get rid of","pozbyć się",20200101
"get worse",gorzej,20200101
gifted,utalentowany,20200101
girl,dziewczynka,20200101
give,dać,20200101
"give me","daj mi",20200101
glass,szkło,20200101
glasses,okulary,20200101
gloves,rękawiczki,20200101
glue,klej,20200101
go,"udać się",20200101
"go after","podążać za",20200101
"go back",Wróć,20200101
"go by car","jechać samochodem",20200101
"go to sleep","idź spać",20200101
goal,cel,20200101
goat,Koza,20200101
"going to do something","zamierzam coś zrobić",20200101
good,dobrze,20200101
"good looking",przystojny,20200101
got,dostał,20200101
grab,chwycić,20200101
grades,klas,20200101
grant,dotacja,20200101
grease,smar,20200101
great,wspaniały,20200101
green,Zielony,20200101
grey,szary,20200101
grow,rosnąć,20200101
"grow up",dorastać,20200101
guard,strzec,20200101
guess,odgadnąć,20200101
guest,Gość,20200101
gum,guma,20200101
gun,pistolet,20200101
had,miał,20200101
hair,włosy,20200101
half,pół,20200101
hand,dłoń,20200101
handsome,przystojny,20200101
hang,powiesić,20200101
hansome,hansome,20200101
happen,zdarzyć,20200101
happy,szczęśliwy,20200101
hard,ciężko,20200101
harves,żniwa,20200101
harvest,żniwa,20200101
hat,kapelusz,20200101
hate,nienawidzić,20200101
have,mieć,20200101
"have to",musieć,20200101
havoc,spustoszenie,20200101
"he is ","on jest",20200101
headache,"bół głowy",20200101
heal,uzdrowić,20200101
healthy,zdrowy,20200101
heavy,ciężki,20200101
hedgehog,jeż,20200101
help,Wsparcie,20200101
her,jej,20200101
here,tutaj,20200101
high,wysoki,20200101
highway,Autostrada,20200101
hill,wzgórze,20200101
him,mu,20200101
himeself,sam,20200101
himself,"samego siebie",20200101
hint,Wskazówka,20200101
hippo,hipopotam,20200101
his,jego,20210603
history,historia,20200101
hit,trafienie,20200101
hold,trzymać,20200101
hole,otwór,20200101
homework,"zadanie domowe",20200101
honestly,szczerze,20200101
hope,nadzieja,20200101
horizontal,poziomy,20200101
hornet,szerszeń,20200101
horrible,okropny,20200101
hostile,wrogi,20200101
hostility,wrogość,20200101
hot,gorąco,20200101
hour,godzina,20200101
hover,"unosić się",20200101
"how are you today?","Jak się dzisiaj miewasz?",20200101
"how many",ile,20200101
"how much does it cost","ile to kosztuje",20200101
"how old are you","ile masz lat",20200101
"how old are you?","ile masz lat?",20200101
huge,olbrzymi,20200101
hunger,głód,20200101
hungry,głodny,20200101
hunt,polowanie,20200101
hurt,ból,20200101
"i am",jestem,20200101
"i am _ years old","mam lat",20200101
"i brush teeth","myję zęby",20200101
"i can _","mogę _",20200101
"i can't _can _ _?","nie mogę _mogę_ _?",20200101
"i dislike","nie lubię",20200101
"i don't have _","nie mam _",20200101
"i don't like _","nie lubię _",20200101
"i have _","mam _",20200101
"i like","podoba mi się",20200101
"i like _","podoba mi się _",20200101
"i live in _ on _ street","mieszkam w _ na _ ulicy",20200101
"i want _","chcę _",20200101
"i want to _","chcę _",20200101
i'll,chory,20200101
ice,lód,20200101
ideal,ideał,20200101
ill,chory,20200101
immediately,natychmiast,20200101
important,ważny,20200101
impress,imponować,20200101
impression,wrażenie,20200101
in,w,20200101
"in danger","w niebezpieczeństwie",20200101
"in front of",przed,20200101
"in general",ogólnie,20200101
"in the future","w przyszłości",20200101
"in the middle",pośrodku,20200101
"in the morning",rankiem,20200101
"in the sky","na niebie",20200101
"in the world","na świecie",20200101
include,zawierać,20200101
income,dochód,20200101
increase,zwiększać,20200101
indeed,"w rzeczy samej",20200101
independent,niezależny,20200101
inevitable,nieunikniony,20200101
ink,atrament,20200101
inside,wewnątrz,20200101
instead,zamiast,20200101
interesting,ciekawy,20200101
into,w,20200101
introduce,przedstawiać,20200101
invent,wymyślać,20200101
invention,wynalazek,20200101
"is it good idea","czy to dobry pomysł?",20200101
"is on fire","pali się",20200101
"it does not matter","nie ważne",20200101
"it is ","to jest",20200101
"it is _ o'clock","jest _ godzina",20200101
"it is impossible","to jest niemożliwe",20200101
"it is possible","to jest możliwe",20200101
"it is raining","pada deszcz",20200101
"it is snowing","pada śnieg",20200101
"it is windy","jest wietrznie",20200101
itch,swędzenie,20200101
"its kind of bad","to rodzaj złego",20200101
jack,Jacek,20200101
january,styczeń,20200101
job,praca,20200101
joke,żart,20200101
juice,sok,20200101
july,lipiec,20200101
june,czerwiec,20200101
just,właśnie,20200101
keep,trzymać,20200101
kick,kopnięcie,20200101
kill,zabić,20200101
"killer whale",orka,20200101
kind,uprzejmy,20200101
"kind of",rodzaj,20200101
kindergarden,przedszkole,20200101
king,król,20200101
kitchen,kuchnia,20200101
knee,kolano,20200101
knew,wiedział,20200101
knife,nóż,20200101
knight,rycerz,20200101
know,wiedzieć,20200101
label,etykieta,20200101
ladder,drabina,20200101
lake,jezioro,20200101
large,duży,20200101
late,późno,20200101
later,później,20200101
"laugh at","śmiać się z",20200101
law,prawo,20200101
layer,warstwa,20200101
lazy,leniwy,20200101
learn,"uczyć się",20200101
leave,wychodzić,20200101
left,lewo,20200101
leg,noga,20200101
lend,wypożyczać,20200101
less,mniej,20200101
"less _ than","mniej niż",20200101
lesson,lekcja,20200101
"let me guess","niech zgadnę",20200101
"let the cat in","wpuść kota",20200101
"let the cat out","wypuść kota",20200101
let's,chodźmy,20200101
"lets jump right into it","wskoczmy w to",20200101
letter,list,20200101
liar,kłamca,20200101
library,biblioteka,20200101
license,licencja,20200101
lie,kłamstwo,20200101
life,życie,20200101
lift,winda,20200101
light,lekki,20200101
"light bulb",żarówka,20200101
lights,światła,20200101
limit,limit,20200101
lips,usta,20200101
list,lista,20200101
"listen to",słuchać,20200101
little,mało,20200101
live,"relacja na żywo",20200101
"living room",salon,20200101
lollipop,lizak,20200101
long,długo,20200101
"look after","opiekować się",20200101
"look at","patrzeć na",20200101
"look for",szukać,20200101
"look like","wygląda jak",20200101
lose,stracić,20200101
loud,głośny,20200101
loundry,pranie,20200101
love,miłość,20200101
low,Niska,20200101
loyal,wierny,20200101
ma,mama,20200101
magician,magik,20200101
magnet,magnes,20200101
main,Główny,20200101
make,Marka,20200101
"make arrangement","zrobić aranżację",20200101
"make sure","Upewnić się",20200101
male,męski,20200101
man,człowiek,20200101
manage,zarządzać,20200101
mandatory,obowiązkowy,20200101
many,wiele,20200101
march,Marsz,20200101
mark,znak,20200101
mass,masa,20200101
master,mistrz,20200101
math,matematyka,20200101
may,może,20200101
maybe,może,20200101
meal,posiłek,20200101
measure,pomiar,20200101
meat,mięso,20200101
medicine,lekarstwo,20200101
medium,średni,20200101
meet,"spotykać się",20200101
meeting,spotkanie,20200101
melt,topnieć,20200101
member,członek,20200101
men,mężczyźni,20200101
merge,łączyć,20200101
message,wiadomość,20200101
mice,myszy,20200101
midnight,północ,20200101
military,wojskowy,20200101
minute,minuta,20200101
mirror,lustro,20200101
monday,poniedziałek,20200101
money,pieniądze,20200101
month,miesiąc,20200101
moon,księżyc,20200101
more,jeszcze,20200101
"more _ than","więcej niż",20200101
"more expensive",droższe,20200101
mother,matka,20200101
mountain,Góra,20200101
mouse,mysz,20200101
moustache,wąsy,20200101
move,"ruszaj się",20200101
movie,film,20200101
much,dużo,20200101
"much more","wiele więcej",20200101
multiplayer,multiplayer,20200101
multiplier,mnożnik,20200101
multiply,zwielokrotniać,20200101
musician,muzyk,20200101
"my favourite _ is _","mój ulubiony to _",20200101
myself,siebie,20200101
nail,gwóźdź,20200101
narrow,wąski,20200101
navy,"marynarka wojenna",20200101
near,Blisko,20200101
neck,szyja,20200101
need,potrzeba,20200101
needle,igła,20200101
neighbour,sąsiad,20200101
never,nigdy,20200101
new,Nowy,20200101
newspaper,Gazeta,20200101
next,Kolejny,20200101
"next to",obok,20200101
nice,miły,20200101
night,noc,20200101
nobody,nikt,20200101
noise,hałas,20200101
noone,nikt,20200101
north,północ,20200101
"north pole","biegun północny",20200101
nose,nos,20200101
nothing,nic,20200101
november,listopad,20200101
now,teraz,20200101
nucelar,jądrowy,20200101
nuclear,jądrowy,20200101
number,numer,20200101
obtain,uzyskać,20200101
occupation,zawód,20200101
ocean,ocean,20200101
october,październik,20200101
"of course",oczywiście,20200101
off,poza,20200101
often,często,20200101
on,na,20200101
"on the left","po lewej",20200101
"on the right","po prawej",20200101
once,"pewnego razu",20200101
"one month ago","miesiąc temu",20200101
"one more time","jeszcze raz",20200101
onion,cebula,20200101
only,tylko,20200101
open,otwarty,20200101
opportunity,okazja,20200101
"opposite to","przeciwny do",20200101
orange,Pomarańczowy,20200101
ordinary,zwyczajny,20200101
other,inny,20200101
our,nasz,20200101
outdoors,"na dworze",20200101
outsmart,przechytrzyć,20200101
over,nad,20200101
paddle,wiosłować,20200101
padle,wiosło,20200101
page,strona,20200101
pain,ból,20200101
painful,bolesny,20200101
painter,malarz,20200101
palm,Palma,20200101
pancake,naleśnik,20200101
pants,Spodnie,20200101
paper,papier,20200101
parents,rodzice,20200101
part,część,20200101
particle,cząstka,20200101
pass,przechodzić,20200101
passage,przejście,20200101
passenger,pasażer,20200101
past,przeszłość,20200101
patience,cierpliwość,20200101
patient,cierpliwy,20200101
paw,łapa,20200101
pawn,pionek,20200101
pay,zapłacić,20200101
pee,"robić siku",20200101
pen,długopis,20200101
penalty,"rzut karny",20200101
pencil,ołówek,20200101
pencilcase,piórnik,20200101
people,ludzie,20200101
pepper,pieprz,20200101
perhaps,"być może",20200101
period,Kropka,20200101
permit,pozwolić,20200101
person,osoba,20200101
pet,"zwierzę domowe",20200101
petrol,benzyna,20200101
petting,pieszczoty,20200101
"pick up",odebrać,20200101
picture,obrazek,20200101
piece,kawałek,20200101
"piece of something","kawałek czegoś",20200101
pillow,poduszka,20200101
pinch,szczypta,20200101
pink,różowy,20200101
place,miejsce,20200101
"planet earth","planeta Ziemia",20200101
planting,sadzenie,20200101
plate,płyta,20200101
"play cards","grać w karty",20200101
"play games","grać w gry",20200101
"play piano","grać na pianinie",20200101
pleasant,przyjemne,20200101
please,Proszę,20200101
plural,"Liczba mnoga",20200101
pocket,kieszeń,20200101
poem,wiersz,20200101
"point finger","Palec wskazujący",20200101
polarity,biegunowość,20200101
polished,błyszczący,20200101
portable,przenośny,20200101
pour,wlać,20200101
powerful,potężny,20200101
precious,cenny,20200101
prefer,woleć,20200101
prepare,przygotować,20200101
pretty,ładny,20200101
previous,poprzedni,20200101
priest,kapłan,20200101
prisoner,więzień,20200101
private,prywatny,20200101
probably,prawdopodobnie,20200101
problem,problem,20200101
proficiency,biegłość,20200101
proof,dowód,20200101
propel,napędzać,20200101
prove,"okazać się",20200101
pull,Ciągnąć,20200101
"pull off",ściągać,20200101
"pull ups",podciąganie,20200101
punch,stempel,20200101
push,Pchać,20200101
"push ups",pompki,20200101
put,położyć,20200101
"put back","położyć z powrotem",20200101
quality,jakość,20200101
queen,królowa,20200101
question,pytanie,20200101
quiet,cichy,20200101
race,wyścigi,20200101
"racing driver","kierowca rajdowy",20200101
radiosignal,"sygnał radiowy",20200101
raincoat,"płaszcz przeciwdeszczowy",20200101
raliability,niezawodność,20200101
ransom,okup,20200101
rare,"rzadko spotykany",20200101
rat,szczur,20200101
read,czytać,20200101
real,real,20200101
realiable,realny,20200101
really,naprawdę,20200101
reason,powód,20200101
recognition,uznanie,20200101
recognize,rozpoznać,20200101
rectangle,prostokąt,20200101
red,czerwony,20200101
reduce,zmniejszyć,20200101
regular,regularny,20200101
remember,Zapamiętaj,20200101
remind,przypomnieć,20200101
remote,zdalny,20200101
remotely,zdalnie,20200101
remove,usunąć,20200101
renew,odnowić,20200101
"renewal energy","energia odnowy",20200101
renovation,renowacja,20200101
rent,wynajem,20200101
repeat,powtarzać,20200101
repell,odpychać,20200101
replace,zastąpić,20200101
required,wymagany,20200101
requirement,wymaganie,20200101
rescuer,ratownik,20200101
resource,ratunek,20200101
return,powrót,20200101
rhino,nosorożec,20200101
rich,bogaty,20200101
right,dobrze,20200101
ringtone,dzwonek,20200101
river,rzeka,20200101
"robert's room","pokój Roberta",20200101
rock,skała,20200101
rook,wieża,20200101
room,Pokój,20200101
round,okrągły,20200101
row,rząd,20200101
rude,niegrzeczny,20200101
rule,reguła,20200101
ruler,linijka,20200101
rummaging,grzebienie,20200101
run,biegać,20200101
sad,smutny,20200101
safe,bezpieczny,20200101
sail,żagiel,20200101
sails,żagle,20200101
salt,Sól,20200101
same,podobnie,20200101
sand,piasek,20200101
sandwich,kanapka,20200101
saturday,sobota,20200101
save,zapisać,20200101
saw,widział,20200101
say,mówić,20200101
scales,waga,20200101
scared,przestraszony,20200101
schedule,harmonogram,20200101
science,nauka,20200101
"scoop up",zebrać,20200101
score,wynik,20200101
scream,krzyk,20200101
"scrumbled eggs",jajecznica,20200101
sea,morze,20200101
search,Szukaj,20200101
second,druga,20200101
see,widzieć,20200101
seldom,rzadko,20200101
"self defence",Samoobrona,20200101
sell,Sprzedać,20200101
sensible,rozsądny,20200101
separate,oddzielny,20200101
september,wrzesień,20200101
serious,poważny,20200101
shampoo,szampon,20200101
shape,kształt,20200101
sharp,ostry,20200101
"she is",jest,20200101
shelve,"odłożyć na półkę",20200101
shine,połysk,20200101
shirt,koszula,20200101
shoes,buty,20200101
shoot,strzelać,20200101
shop,sklep,20200101
shore,Wybrzeże,20200101
short,krótki,20200101
should,powinien,20200101
shout,krzyczeć,20200101
show,pokazać,20200101
shower,prysznic,20200101
shrimp,Krewetka,20200101
shrink,"kurczyć się",20200101
shy,nieśmiały,20200101
sick,chory,20200101
sickness,choroba,20200101
side,bok,20200101
sight,widok,20200101
sign,znak,20200101
signature,podpis,20200101
silence,cisza,20200101
silent,cichy,20200101
similar,podobny,20200101
simple,prosty,20200101
simply,"po prostu",20200101
sin,grzech,20200101
since,od,20200101
sing,śpiewać,20200101
single,pojedynczy,20200101
sink,tonąć,20200101
sister,siostra,20200101
sit,siedzieć,20200101
"sit on","usiąść na",20200101
"sit ups",siadać!,20200101
skin,skóra,20200101
sky,niebo,20200101
slave,niewolnik,20200101
sleep,sen,20200101
sleepy,senny,20200101
sleeve,rękaw,20200101
slide,"ślizgać się",20200101
slim,szczupły,20200101
slip,poślizg,20200101
slippers,kapcie,20200101
slippery,śliski,20200101
slow,powolny,20200101
small,mały,20200101
smaller,mniejszy,20200101
smart,mądry,20200101
smile,"Uśmiechnij się",20200101
smooth,gładki,20200101
snail,ślimak,20200101
snow,śnieg,20200101
so,więc,20200101
soft,miękki,20200101
soldier,żołnierz,20200101
solve,rozwiązać,20200101
some,trochę,20200101
somebody,ktoś,20200101
someone,ktoś,20200101
something,coś,20200101
somewhere,gdzieś,20200101
son,syn,20200101
song,piosenka,20200101
soon,wkrótce,20200101
sound,dźwięk,20200101
source,źródło,20200101
south,południe,20200101
spades,pik,20200101
speaker,głośnik,20200101
speech,przemówienie,20200101
spell,zaklęcie,20200101
spicy,Pikantny,20200101
spider,pająk,20200101
spike,kolec,20200101
spill,rozlanie,20200101
spoon,łyżka,20200101
spread,rozpiętość,20200101
square,kwadrat,20200101
squat,kucać,20200101
squeeze,ściskać,20200101
stairs,schody,20200101
stand,stoisko,20200101
standalone,samodzielny,20200101
stay,zostać,20200101
steam,parowy,20200101
"steering wheel",kierownica,20200101
stick,kij,20200101
still,nadal,20200101
sting,Żądło,20200101
stone,złóg,20200101
storm,burza,20200101
strange,dziwne,20200101
straw,słoma,20200101
strawberry,truskawka,20200101
strike,strajk,20200101
strong,silny,20200101
student,student,20200101
study,nauka,20200101
submarine,"Łódź podwodna",20200101
submerge,zanurzać,20200101
such,taki,20200101
"such as","Jak na przykład",20200101
sugar,cukier,20200101
sun,słońce,20200101
sunday,niedziela,20200101
supper,kolacja,20200101
sure,pewnie,20200101
surface,powierzchnia,20200101
surprised,zaskoczony,20200101
surprized,zaskoczony,20200101
swallow,Łyk,20200101
swam,pływałem,20200101
swap,zamiana,20200101
sweat,"pocić się",20200101
swim,pływać,20200101
switch,przełącznik,20200101
take,brać,20200101
"take picture","Zrób zdjęcie",20200101
tall,wysoki,20200101
taller,wyższy,20200101
tank,czołg,20200101
tap,kran,20200101
target,cel,20200101
task,zadanie,20200101
taste,smak,20200101
team,zespół,20200101
tell,powiedzieć,20200101
temperature,temperatura,20200101
terrified,przerażony,20200101
that,że,20200101
"the __ the __","__ __",20200101
"the bigger the stronger","im większy tym silniejszy",20200101
"the last",ostatni,20200101
"the least",najmniej,20200101
"the most",najbardziej,20200101
"the same","to samo",20200101
"the tallest",najwyższy,20200101
"the worst",najgorsze,20200101
their,ich,20200101
there,tam,20200101
"there are many ways to do this","Istnieje wiele sposobów, aby to zrobić",20200101
"they are","oni są",20200101
thick,gruby,20200101
thief,złodziej,20200101
thieves,złodzieje,20200101
thin,chudy,20200101
thing,rzecz,20200101
think,myśleć,20200101
third,trzeci,20200101
this,to,20200101
thought,myśl,20200101
threat,zagrożenie,20200101
"threaten someone","grozić komuś",20200101
through,przez,20200101
throughout,poprzez,20200101
throw,rzucać,20200101
thunder,grzmot,20200101
thursday,czwartek,20200101
tick,kleszcz,20200101
ticket,bilet,20200101
time,czas,20200101
tiny,malutki,20200101
tire,opona,20200101
tired,zmęczony,20200101
title,tytuł,20200101
to,do,20200101
"to be afraid of","bać się czegoś",20200101
